Start Time,Consumption (W)
2024-01-18 19:00:00,8078.0
2024-01-18 20:00:00,3264.0
2024-01-18 21:00:00,9334.0
2024-01-18 22:00:00,10448.0
2024-01-18 23:00:00,9664.0
2024-01-19 00:00:00,7918.0
2024-01-19 01:00:00,7330.0
2024-01-19 02:00:00,7252.0
2024-01-19 03:00:00,3236.0
2024-01-19 04:00:00,2396.0
2024-01-19 05:00:00,1794.0
2024-01-19 06:00:00,2528.0
2024-01-19 07:00:00,1870.0
2024-01-19 08:00:00,6612.0
2024-01-19 09:00:00,7140.0
2024-01-19 10:00:00,7666.0
2024-01-19 11:00:00,7268.0
2024-01-19 12:00:00,5328.0
2024-01-19 13:00:00,5020.0
2024-01-19 14:00:00,11868.0
2024-01-19 15:00:00,10422.0
2024-01-19 16:00:00,6892.0
2024-01-19 17:00:00,11534.0
2024-01-19 18:00:00,8990.0
2024-01-19 19:00:00,7036.0
2024-01-19 20:00:00,7508.0
2024-01-19 21:00:00,6834.0
2024-01-19 22:00:00,11962.0
2024-01-19 23:00:00,10238.0
2024-01-20 00:00:00,7270.0
2024-01-20 01:00:00,10758.0
2024-01-20 02:00:00,6912.0
2024-01-20 03:00:00,6198.0
2024-01-20 04:00:00,5300.0
2024-01-20 05:00:00,6620.0
2024-01-20 06:00:00,6746.0
2024-01-20 07:00:00,4926.0
2024-01-20 08:00:00,5134.0
2024-01-20 09:00:00,5676.0
2024-01-20 10:00:00,6884.0
2024-01-20 11:00:00,8106.0
2024-01-20 12:00:00,7314.0
2024-01-20 13:00:00,9484.0
2024-01-20 14:00:00,8020.0
2024-01-20 15:00:00,6616.0
2024-01-20 16:00:00,10874.0
2024-01-20 17:00:00,11948.0
2024-01-20 18:00:00,10322.0
2024-01-20 19:00:00,7604.0
2024-01-20 20:00:00,7184.0
2024-01-20 21:00:00,7560.0
2024-01-20 22:00:00,11532.0
2024-01-20 23:00:00,5862.0
2024-01-21 00:00:00,5752.0
2024-01-21 01:00:00,8596.0
2024-01-21 02:00:00,6170.0
2024-01-21 03:00:00,5540.0
2024-01-21 04:00:00,6188.0
2024-01-21 05:00:00,5674.0
2024-01-21 06:00:00,5952.0
2024-01-21 07:00:00,5228.0
2024-01-21 08:00:00,5714.0
2024-01-21 09:00:00,5142.0
2024-01-21 10:00:00,7940.0
2024-01-21 11:00:00,7656.0
2024-01-21 12:00:00,8718.0
2024-01-21 13:00:00,7780.0
2024-01-21 14:00:00,10590.0
2024-01-21 15:00:00,10022.0
2024-01-21 16:00:00,4882.0
2024-01-21 17:00:00,5988.0
2024-01-21 18:00:00,7168.0
2024-01-21 19:00:00,7204.0
2024-01-21 20:00:00,8306.0
2024-01-21 21:00:00,8324.0
2024-01-21 22:00:00,7032.0
2024-01-21 23:00:00,3576.0
2024-01-22 00:00:00,10632.0
2024-01-22 01:00:00,6852.0
2024-01-22 02:00:00,6242.0
2024-01-22 03:00:00,6264.0
2024-01-22 04:00:00,5186.0
2024-01-22 05:00:00,6342.0
2024-01-22 06:00:00,5444.0
2024-01-22 07:00:00,5468.0
2024-01-22 08:00:00,4020.0
2024-01-22 09:00:00,5634.0
2024-01-22 10:00:00,4500.0
2024-01-22 11:00:00,4454.0
2024-01-22 12:00:00,3308.0
2024-01-22 13:00:00,7374.0
2024-01-22 14:00:00,3686.0
2024-01-22 15:00:00,4172.0
2024-01-22 16:00:00,3416.0
2024-01-22 17:00:00,5294.0
2024-01-22 18:00:00,5116.0
2024-01-22 19:00:00,9416.0
2024-01-22 20:00:00,7118.0
2024-01-22 21:00:00,6934.0
2024-01-22 22:00:00,6492.0
2024-01-22 23:00:00,8770.0
2024-01-23 00:00:00,9700.0
2024-01-23 01:00:00,7954.0
2024-01-23 02:00:00,4886.0
2024-01-23 03:00:00,4436.0
2024-01-23 04:00:00,4898.0
2024-01-23 05:00:00,3710.0
2024-01-23 06:00:00,6130.0
2024-01-23 07:00:00,4554.0
2024-01-23 08:00:00,1366.0
2024-01-23 09:00:00,1966.0
2024-01-23 10:00:00,1310.0
2024-01-23 11:00:00,1260.0
2024-01-23 12:00:00,2194.0
2024-01-23 13:00:00,1462.0
2024-01-23 14:00:00,2080.0
2024-01-23 15:00:00,1352.0
2024-01-23 16:00:00,1662.0
2024-01-23 17:00:00,1904.0
2024-01-23 18:00:00,5588.0
2024-01-23 19:00:00,8378.0
2024-01-23 20:00:00,4232.0
2024-01-23 21:00:00,8818.0
2024-01-23 22:00:00,8072.0
2024-01-23 23:00:00,6970.0
2024-01-24 00:00:00,1656.0
2024-01-24 01:00:00,2468.0
2024-01-24 02:00:00,2336.0
2024-01-24 03:00:00,1608.0
2024-01-24 04:00:00,2332.0
2024-01-24 05:00:00,1598.0
2024-01-24 06:00:00,2340.0
2024-01-24 07:00:00,1956.0
2024-01-24 08:00:00,2514.0
2024-01-24 09:00:00,1464.0
2024-01-24 10:00:00,2166.0
2024-01-24 11:00:00,1486.0
2024-01-24 12:00:00,3030.0
2024-01-24 13:00:00,2338.0
2024-01-24 14:00:00,1624.0
2024-01-24 15:00:00,2342.0
2024-01-24 16:00:00,1844.0
2024-01-24 17:00:00,1850.0
2024-01-24 18:00:00,3238.0
2024-01-24 19:00:00,6052.0
2024-01-24 20:00:00,8644.0
2024-01-24 21:00:00,8024.0
2024-01-24 22:00:00,7780.0
2024-01-24 23:00:00,6174.0
2024-01-25 00:00:00,1658.0
2024-01-25 01:00:00,2426.0
2024-01-25 02:00:00,2386.0
2024-01-25 03:00:00,1626.0
2024-01-25 04:00:00,2300.0
2024-01-25 05:00:00,1610.0
2024-01-25 06:00:00,2348.0
2024-01-25 07:00:00,3052.0
2024-01-25 08:00:00,7570.0
2024-01-25 09:00:00,8530.0
2024-01-25 10:00:00,2442.0
2024-01-25 11:00:00,2468.0
2024-01-25 12:00:00,2460.0
2024-01-25 13:00:00,2244.0
2024-01-25 14:00:00,3278.0
2024-01-25 15:00:00,1414.0
2024-01-25 16:00:00,2130.0
2024-01-25 17:00:00,1394.0
2024-01-25 18:00:00,6336.0
2024-01-25 19:00:00,14688.0
2024-01-25 20:00:00,10954.0
2024-01-25 21:00:00,8558.0
2024-01-25 22:00:00,9748.0
2024-01-25 23:00:00,10700.0
2024-01-26 00:00:00,10694.0
2024-01-26 01:00:00,10382.0
2024-01-26 02:00:00,5968.0
2024-01-26 03:00:00,5704.0
2024-01-26 04:00:00,4820.0
2024-01-26 05:00:00,5490.0
2024-01-26 06:00:00,5186.0
2024-01-26 07:00:00,6674.0
2024-01-26 08:00:00,8414.0
2024-01-26 09:00:00,2718.0
2024-01-26 10:00:00,2510.0
2024-01-26 11:00:00,4174.0
2024-01-26 12:00:00,4274.0
2024-01-26 13:00:00,3022.0
2024-01-26 14:00:00,2220.0
2024-01-26 15:00:00,2232.0
2024-01-26 16:00:00,4756.0
2024-01-26 17:00:00,7714.0
2024-01-26 18:00:00,3090.0
2024-01-26 19:00:00,2726.0
2024-01-26 20:00:00,7816.0
2024-01-26 21:00:00,7630.0
2024-01-26 22:00:00,5812.0
2024-01-26 23:00:00,7244.0
2024-01-27 00:00:00,6062.0
2024-01-27 01:00:00,2740.0
2024-01-27 02:00:00,2324.0
2024-01-27 03:00:00,1684.0
2024-01-27 04:00:00,2330.0
2024-01-27 05:00:00,1640.0
2024-01-27 06:00:00,2292.0
2024-01-27 07:00:00,2564.0
2024-01-27 08:00:00,1698.0
2024-01-27 09:00:00,2450.0
2024-01-27 10:00:00,3208.0
2024-01-27 11:00:00,3010.0
2024-01-27 12:00:00,6938.0
2024-01-27 13:00:00,7764.0
2024-01-27 14:00:00,6196.0
2024-01-27 15:00:00,4640.0
2024-01-27 16:00:00,3116.0
2024-01-27 17:00:00,3274.0
2024-01-27 18:00:00,6906.0
2024-01-27 19:00:00,7906.0
2024-01-27 20:00:00,5028.0
2024-01-27 21:00:00,2182.0
2024-01-27 22:00:00,1882.0
2024-01-27 23:00:00,1748.0
2024-01-28 00:00:00,1972.0
2024-01-28 01:00:00,1312.0
2024-01-28 02:00:00,1956.0
2024-01-28 03:00:00,1292.0
2024-01-28 04:00:00,1960.0
2024-01-28 05:00:00,1290.0
2024-01-28 06:00:00,1976.0
2024-01-28 07:00:00,1290.0
2024-01-28 08:00:00,2140.0
2024-01-28 09:00:00,3804.0
2024-01-28 10:00:00,4690.0
2024-01-28 11:00:00,4308.0
2024-01-28 12:00:00,7694.0
2024-01-28 13:00:00,7940.0
2024-01-28 14:00:00,4124.0
2024-01-28 15:00:00,2438.0
2024-01-28 16:00:00,2210.0
2024-01-28 17:00:00,1726.0
2024-01-28 18:00:00,2202.0
2024-01-28 19:00:00,7430.0
2024-01-28 20:00:00,7904.0
2024-01-28 21:00:00,8776.0
2024-01-28 22:00:00,8106.0
2024-01-28 23:00:00,3684.0
2024-01-29 00:00:00,5900.0
2024-01-29 01:00:00,1630.0
2024-01-29 02:00:00,2388.0
2024-01-29 03:00:00,2358.0
2024-01-29 04:00:00,1640.0
2024-01-29 05:00:00,2298.0
2024-01-29 06:00:00,1602.0
2024-01-29 07:00:00,2790.0
2024-01-29 08:00:00,2140.0
2024-01-29 09:00:00,1542.0
2024-01-29 10:00:00,2194.0
2024-01-29 11:00:00,1520.0
2024-01-29 12:00:00,2112.0
2024-01-29 13:00:00,2722.0
2024-01-29 14:00:00,3180.0
2024-01-29 15:00:00,1598.0
2024-01-29 16:00:00,2152.0
2024-01-29 17:00:00,2128.0
2024-01-29 18:00:00,3840.0
2024-01-29 19:00:00,8708.0
2024-01-29 20:00:00,4530.0
2024-01-29 21:00:00,4412.0
2024-01-29 22:00:00,8662.0
2024-01-29 23:00:00,7626.0
2024-01-30 00:00:00,3720.0
2024-01-30 01:00:00,2656.0
2024-01-30 02:00:00,1986.0
2024-01-30 03:00:00,2106.0
2024-01-30 04:00:00,2390.0
2024-01-30 05:00:00,1654.0
2024-01-30 06:00:00,2338.0
2024-01-30 07:00:00,2086.0
2024-01-30 08:00:00,2308.0
2024-01-30 09:00:00,2190.0
2024-01-30 10:00:00,1588.0
2024-01-30 11:00:00,2200.0
2024-01-30 12:00:00,2114.0
2024-01-30 13:00:00,2020.0
2024-01-30 14:00:00,3028.0
2024-01-30 15:00:00,2210.0
2024-01-30 16:00:00,2224.0
2024-01-30 17:00:00,2348.0
2024-01-30 18:00:00,6006.0
2024-01-30 19:00:00,7248.0
2024-01-30 20:00:00,3560.0
2024-01-30 21:00:00,3370.0
2024-01-30 22:00:00,3248.0
2024-01-30 23:00:00,7726.0
2024-01-31 00:00:00,7250.0
2024-01-31 01:00:00,1652.0
2024-01-31 02:00:00,2578.0
2024-01-31 03:00:00,2408.0
2024-01-31 04:00:00,1868.0
2024-01-31 05:00:00,2132.0
2024-01-31 06:00:00,2412.0
2024-01-31 07:00:00,2190.0
2024-01-31 08:00:00,1910.0
2024-01-31 09:00:00,1312.0
2024-01-31 10:00:00,1906.0
2024-01-31 11:00:00,1458.0
2024-01-31 12:00:00,2142.0
2024-01-31 13:00:00,1500.0
2024-01-31 14:00:00,2342.0
2024-01-31 15:00:00,1586.0
2024-01-31 16:00:00,1782.0
2024-01-31 17:00:00,2392.0
2024-01-31 18:00:00,6372.0
2024-01-31 19:00:00,4948.0
2024-01-31 20:00:00,4160.0
2024-01-31 21:00:00,3208.0
2024-01-31 22:00:00,4488.0
2024-01-31 23:00:00,3708.0
2024-02-01 00:00:00,2276.0
2024-02-01 01:00:00,1548.0
2024-02-01 02:00:00,2178.0
2024-02-01 03:00:00,2174.0
2024-02-01 04:00:00,1564.0
2024-02-01 05:00:00,2176.0
2024-02-01 06:00:00,1524.0
2024-02-01 07:00:00,2556.0
2024-02-01 08:00:00,1854.0
2024-02-01 09:00:00,2054.0
2024-02-01 10:00:00,1738.0
2024-02-01 11:00:00,3918.0
2024-02-01 12:00:00,2028.0
2024-02-01 13:00:00,2348.0
2024-02-01 14:00:00,2028.0
2024-02-01 15:00:00,4238.0
2024-02-01 16:00:00,2642.0
2024-02-01 17:00:00,2466.0
2024-02-01 18:00:00,2682.0
2024-02-01 19:00:00,9954.0
2024-02-01 20:00:00,4030.0
2024-02-01 21:00:00,2624.0
2024-02-01 22:00:00,6774.0
2024-02-01 23:00:00,3526.0
2024-02-02 00:00:00,6602.0
2024-02-02 01:00:00,3748.0
2024-02-02 02:00:00,2474.0
2024-02-02 03:00:00,2418.0
2024-02-02 04:00:00,1704.0
2024-02-02 05:00:00,2344.0
